node_label	count0	count1	count2	topo0	topo1	topo2
QS175	717	228	37	((LOtonduzii_P017_WB02_ANP,ILspinosa_P011_WF10_A),(LOgulielmi_treleasei_P009_WD06_A,LOrapurahuensis_P011_WG12_SS));	((LOtonduzii_P017_WB02_ANP,LOgulielmi_treleasei_P009_WD06_A),(ILspinosa_P011_WF10_A,LOrapurahuensis_P011_WG12_SS));	((LOtonduzii_P017_WB02_ANP,LOrapurahuensis_P011_WG12_SS),(LOgulielmi_treleasei_P009_WD06_A,ILspinosa_P011_WF10_A));
QS176	18	70	81	((LOgulielmi_treleasei_P009_WD06_A,CYsalicina_P011_WF11_A),(LOrapurahuensis_P011_WG12_SS,LOgracilior_P011_WG09_A));	((LOgulielmi_treleasei_P009_WD06_A,LOrapurahuensis_P011_WG12_SS),(CYsalicina_P011_WF11_A,LOgracilior_P011_WG09_A));	((LOgulielmi_treleasei_P009_WD06_A,LOgracilior_P011_WG09_A),(LOrapurahuensis_P011_WG12_SS,CYsalicina_P011_WF11_A));
QS177	718	222	27	((LOsartorii_P009_WG10_ANP,PRvaccinifolia_P005_WB06_A),(LOgaleanensis_P012_WC12_A,LOfurfuracea_P012_WD01_A));	((LOsartorii_P009_WG10_ANP,LOgaleanensis_P012_WC12_A),(PRvaccinifolia_P005_WB06_A,LOfurfuracea_P012_WD01_A));	((LOsartorii_P009_WG10_ANP,LOfurfuracea_P012_WD01_A),(LOgaleanensis_P012_WC12_A,PRvaccinifolia_P005_WB06_A));
QS178	763	17	195	((LOsartorii_P009_WG10_ANP,CEvariabilis_trans_A),(NNflocculenta_P018_WA07_A,LOemoryi_F001_WC12_A));	((LOsartorii_P009_WG10_ANP,NNflocculenta_P018_WA07_A),(CEvariabilis_trans_A,LOemoryi_F001_WC12_A));	((LOsartorii_P009_WG10_ANP,LOemoryi_F001_WC12_A),(NNflocculenta_P018_WA07_A,CEvariabilis_trans_A));
QS179	165	8	9	((NNflocculenta_P018_WA07_A,CYthomsoniana_P005_WB01_A),(LOtridens_P004_WE06_SS,LOemoryi_F001_WC12_A));	((NNflocculenta_P018_WA07_A,LOtridens_P004_WE06_SS),(CYthomsoniana_P005_WB01_A,LOemoryi_F001_WC12_A));	((NNflocculenta_P018_WA07_A,LOemoryi_F001_WC12_A),(LOtridens_P004_WE06_SS,CYthomsoniana_P005_WB01_A));
QS180	283	609	85	((LOknoblochii_P022_WG07_HN,ILhandeliana_P001_WG10_SNS),(LOmexicana_F001_WD02_A,LOmiquihuanensis_P002_WD01_A));	((LOknoblochii_P022_WG07_HN,LOmexicana_F001_WD02_A),(ILhandeliana_P001_WG10_SNS,LOmiquihuanensis_P002_WD01_A));	((LOknoblochii_P022_WG07_HN,LOmiquihuanensis_P002_WD01_A),(LOmexicana_F001_WD02_A,ILhandeliana_P001_WG10_SNS));
QS181	83	157	293	((LOmexicana_F001_WD02_A,CYpercoriacea_P005_WB03_A),(LOpinnativenulosa_P009_WB07_A,LOmiquihuanensis_P002_WD01_A));	((LOmexicana_F001_WD02_A,LOpinnativenulosa_P009_WB07_A),(CYpercoriacea_P005_WB03_A,LOmiquihuanensis_P002_WD01_A));	((LOmexicana_F001_WD02_A,LOmiquihuanensis_P002_WD01_A),(LOpinnativenulosa_P009_WB07_A,CYpercoriacea_P005_WB03_A));
QS182	278	0	84	((LOpinnativenulosa_P009_WB07_A,CYrex_P001_WD08_A),(LOcoahuilensis_P022_WH05_A,LOmiquihuanensis_P002_WD01_A));	((LOpinnativenulosa_P009_WB07_A,LOcoahuilensis_P022_WH05_A),(CYrex_P001_WD08_A,LOmiquihuanensis_P002_WD01_A));	((LOpinnativenulosa_P009_WB07_A,LOmiquihuanensis_P002_WD01_A),(LOcoahuilensis_P022_WH05_A,CYrex_P001_WD08_A));
QS183	85	42	52	((LOmiquihuanensis_P002_WD01_A,ILfloribunda_P004_WC09_A),(LOhintoniorum_P004_WD12_A,LOcoahuilensis_P022_WH05_A));	((LOmiquihuanensis_P002_WD01_A,LOhintoniorum_P004_WD12_A),(ILfloribunda_P004_WC09_A,LOcoahuilensis_P022_WH05_A));	((LOmiquihuanensis_P002_WD01_A,LOcoahuilensis_P022_WH05_A),(LOhintoniorum_P004_WD12_A,ILfloribunda_P004_WC09_A));
QS184	937	46	13	((LOvexans_P028_WF04_SP,CEithaburensis_P002_WE12_A),(LObuckleyi_P026_WB11_A,LOacerifolia_P011_WH03_A));	((LOvexans_P028_WF04_SP,LObuckleyi_P026_WB11_A),(CEithaburensis_P002_WE12_A,LOacerifolia_P011_WH03_A));	((LOvexans_P028_WF04_SP,LOacerifolia_P011_WH03_A),(LObuckleyi_P026_WB11_A,CEithaburensis_P002_WE12_A));
QS185	1000	0	0	((CEsuber_ref,CPdelavayi_trans),(LPannamensis_P001_WB08,LPcraibianus_P001_WB11));	((CEsuber_ref,LPannamensis_P001_WB08),(CPdelavayi_trans,LPcraibianus_P001_WB11));	((CEsuber_ref,LPcraibianus_P001_WB11),(LPannamensis_P001_WB08,CPdelavayi_trans));
QS186	185	0	0	((LPannamensis_P001_WB08,CYchapensis_P010_WE04_A),(LPhenryi_P020_WA08,LPcraibianus_P001_WB11));	((LPannamensis_P001_WB08,LPhenryi_P020_WA08),(CYchapensis_P010_WE04_A,LPcraibianus_P001_WB11));	((LPannamensis_P001_WB08,LPcraibianus_P001_WB11),(LPhenryi_P020_WA08,CYchapensis_P010_WE04_A));
