id,node_label,freq0,qc,qd,qi,qf,qdsig,diff,num_replicates,notes,qf_rank,sect
219,CYmespilifolia_P005_WG09_A,NA,NA,NA,NA,0.612942613,NA,NA,3276,,NA,CY
220,CYmorii_P010_WB12_A,NA,NA,NA,NA,0.60058309,NA,NA,2744,,NA,CY
221,CYoidocarpa_P005_WB02_A,NA,NA,NA,NA,0.59621802,NA,NA,2697,,NA,CY
222,CYpachyloma_P005_WG08_A,NA,NA,NA,NA,0.685508451,NA,NA,3609,,NA,CY
223,CYpentacycla_P001_WE11_A,NA,NA,NA,NA,0.697813717,NA,NA,3339,,NA,CY
224,CYpercoriacea_P005_WB03_A,NA,NA,NA,NA,0.595744681,NA,NA,2679,,NA,CY
225,CYphanera_P010_WC01_A,NA,NA,NA,NA,0.671947005,NA,NA,3472,,NA,CY
226,CYpinbianensis_P001_WE12_SNS,NA,NA,NA,NA,0.840909091,NA,NA,2772,,NA,CY
227,CYrex_P001_WD08_A,NA,NA,NA,NA,0.714539007,NA,NA,2820,,NA,CY
228,CYsalicina_P011_WF11_A,NA,NA,NA,NA,0.670773021,NA,NA,3247,,NA,CY
229,CYschottkyana_trans_A,NA,NA,NA,NA,0.52554298,NA,NA,3269,,NA,CY
230,CYsemiserratoides_P011_WH02_A,NA,NA,NA,NA,0.581616969,NA,NA,3253,,NA,CY
231,CYsichourensis_P001_WE10_A,NA,NA,NA,NA,0.818865559,NA,NA,3191,,NA,CY
232,CYstenophylloides_P008_WA02_A,NA,NA,NA,NA,0.70074224,NA,NA,2964,,NA,CY
233,CYthomsoniana_P005_WB01_A,NA,NA,NA,NA,0.642494561,NA,NA,2758,,NA,CY
234,CYthorelii_P001_WD06_A,NA,NA,NA,NA,0.757959184,NA,NA,2450,,NA,CY
235,CYtiaoloshanica_P001_WD07_A,NA,NA,NA,NA,0.568807339,NA,NA,3270,,NA,CY
236,CYxanthoclada_P002_WF03_A,NA,NA,NA,NA,0.660474421,NA,NA,3499,,NA,CY
237,CYxanthotricha_P017_WB06_A,NA,NA,NA,NA,0.483253589,NA,NA,3135,,top5,CY
238,ILacrodonta_P005_WD08_A,NA,NA,NA,NA,0.758952255,NA,NA,3016,,NA,IL
239,ILbaloot_P001_WD05_A,NA,NA,NA,NA,0.821523179,NA,NA,3020,,NA,IL
240,ILfimbriata_P019_WG03_HN,NA,NA,NA,NA,0.699832496,NA,NA,2985,,NA,IL
241,ILfloribunda_P004_WC09_A,NA,NA,NA,NA,0.779516842,NA,NA,2939,,NA,IL
242,ILgracilis_P010_WF01_SNP,NA,NA,NA,NA,0.669959326,NA,NA,3442,,NA,CY
243,ILhandeliana_P001_WG10_SNS,NA,NA,NA,NA,0.821405121,NA,NA,3046,,NA,IL
244,ILilex_P009_WD07_A,NA,NA,NA,NA,0.705027933,NA,NA,2685,,NA,IL
245,ILkongshanensis_P001_WG09_SNP,NA,NA,NA,NA,0.796634443,NA,NA,2793,,NA,IL
246,ILlanata_P011_WB01_A,NA,NA,NA,NA,0.777822581,NA,NA,2480,,NA,CY
247,ILlongispica_P009_WC12_SNP,NA,NA,NA,NA,0.70487395,NA,NA,2975,,NA,IL
248,ILmarlipoensis_P003_WE07_SNP,NA,NA,NA,NA,0.805421687,NA,NA,3320,,NA,IL
249,ILpseudosemecarpifolia_P005_WG10_SNP,NA,NA,NA,NA,0.756653992,NA,NA,3156,,NA,IL
250,ILrotundifolia_P010_WB09_SNS,NA,NA,NA,NA,0.71616396,NA,NA,2586,,NA,IL
251,ILspinosa_P011_WF10_A,NA,NA,NA,NA,0.767711172,NA,NA,2936,,NA,IL
252,ILtungmaiensis_P003_WE04_SNS,NA,NA,NA,NA,0.745252598,NA,NA,2791,,NA,IL
253,ILyiwuensis_P003_WE05_HN,NA,NA,NA,NA,0.615360102,NA,NA,3138,,NA,IL
254,LOacerifolia_P011_WH03_A,NA,NA,NA,NA,0.769151139,NA,NA,2898,,NA,LO
255,LOacherdophylla_P009_WD01_A,NA,NA,NA,NA,0.550624133,NA,NA,2884,,NA,LO
256,LOacutifolia_F002_WG09_A,NA,NA,NA,NA,0.575921542,NA,NA,2957,,NA,LO
257,LOarkansana_trans_A,NA,NA,NA,NA,0.442766854,NA,NA,2848,,top5,LO
258,LObenthamii_trans_A,NA,NA,NA,NA,0.727911647,NA,NA,2988,,NA,LO
259,LObuckleyi_P026_WB11_A,NA,NA,NA,NA,0.783537653,NA,NA,2855,,NA,LO
260,LOcoahuilensis_P022_WH05_A,NA,NA,NA,NA,0.517806935,NA,NA,2134,,top20,LO
261,LOduratifolia_P009_WG09_SS,NA,NA,NA,NA,0.487925516,NA,NA,3437,,top10,LO
262,LOellipsoidalis_trans_A,NA,NA,NA,NA,0.513700891,NA,NA,3029,,top20,LO
263,LOemoryi_F001_WC12_A,NA,NA,NA,NA,0.626678216,NA,NA,2309,,NA,LO
264,LOeugeniifolia_P012_WC09_SP,NA,NA,NA,NA,0.516117605,NA,NA,2823,,top20,LO
265,LOfalcata_trans_A,NA,NA,NA,NA,0.625704225,NA,NA,2840,,NA,LO
266,LOfloccosa_P022_WH04_A,NA,NA,NA,NA,0.509893993,NA,NA,2830,,top20,LO
267,LOfurfuracea_P012_WD01_A,NA,NA,NA,NA,0.57971464,NA,NA,3224,,NA,LO
268,LOgaleanensis_P012_WC12_A,NA,NA,NA,NA,0.560880829,NA,NA,3088,,NA,LO
269,LOgraciliformis_P012_WB07_SP,NA,NA,NA,NA,0.533149171,NA,NA,2896,,NA,LO
270,LOgracilior_P011_WG09_A,NA,NA,NA,NA,0.562695925,NA,NA,3190,,NA,LO
271,LOgrahamii_P011_WC11_A,NA,NA,NA,NA,0.555163906,NA,NA,2837,,NA,LO
272,LOgulielmi_treleasei_P009_WD06_A,NA,NA,NA,NA,0.562793265,NA,NA,3623,,NA,LO
273,LOhintoniorum_P004_WD12_A,NA,NA,NA,NA,0.489995347,NA,NA,2149,,top10,LO
274,LOhumboldtii_P004_WD04_A,NA,NA,NA,NA,0.521052632,NA,NA,3420,,top20,LO
275,LOimbricaria_trans_A,NA,NA,NA,NA,0.575986842,NA,NA,3040,,NA,LO
276,LOknoblochii_P022_WG07_HN,NA,NA,NA,NA,0.569872958,NA,NA,2755,,NA,LO
277,LOmarilandica_trans_A,NA,NA,NA,NA,0.534136546,NA,NA,2988,,NA,LO
278,LOmexicana_F001_WD02_A,NA,NA,NA,NA,0.382222222,NA,NA,2925,,top5,LO
279,LOmiquihuanensis_P002_WD01_A,NA,NA,NA,NA,0.565047702,NA,NA,2306,,NA,LO
280,LOnigra_trans_A,NA,NA,NA,NA,0.553369112,NA,NA,3354,,NA,LO
281,LOnixoniana_P011_WE11_A,NA,NA,NA,NA,0.555686159,NA,NA,3403,,NA,LO
282,LOpalustris_trans_A,NA,NA,NA,NA,0.731611638,NA,NA,3059,,NA,LO
